k,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,reg_lambda,reg_alpha,min_child_weight,gamma
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,3,0.04,0.9,0.9,2.0,0.0,3.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,300,4,0.04,0.9,0.9,0.5,0.03,1.0,0.03
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.03,3.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.04,0.9,0.9,2.0,0.0,1.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,3,0.03,0.9,0.75,0.5,0.0,1.0,0.05
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,3,0.05,1.0,0.8,2.0,0.03,1.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,650,4,0.02,1.0,0.75,0.5,0.03,2.0,0.0
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,400,4,0.03,0.85,0.75,2.0,0.1,2.0,0.1
350,0.9277973007384771,0.045846762287514,0.9123451856785192,0.054238587993410935,0.9275552967531576,0.04355767569486386,500,4,0.02,0.85,0.75,0.5,0.05,1.0,0.0
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,300,3,0.04,0.9,0.9,1.0,0.03,2.0,0.1
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,400,3,0.02,0.9,0.9,0.5,0.03,1.0,0.03
250,0.9279755538579068,0.03152416740704624,0.9093138805638805,0.03958347573797587,0.9284592947159791,0.029266634511606698,400,2,0.05,0.85,0.75,5.0,0.05,3.0,0.05
300,0.9217366946778711,0.049755336766199046,0.908947718947719,0.05437868733679121,0.9222800332960761,0.045828569478122166,400,3,0.02,1.0,0.9,2.0,0.03,1.0,0.0
300,0.9217366946778711,0.049755336766199046,0.908947718947719,0.05437868733679121,0.9222800332960761,0.045828569478122166,400,3,0.02,1.0,0.75,5.0,0.03,3.0,0.03
300,0.9217366946778711,0.056658736776908254,0.9079512462845797,0.059644132020938816,0.9223762333922763,0.05261574264870747,650,4,0.03,0.9,0.9,5.0,0.1,2.0,0.1
